net,max_min,seed,nb_inequalities,nb_trips,def_nb_veh_D0,def_nb_veh_D1,def_obj_val,def_sol_time,def_col_gen_iter,def_tot_mem_use,ineq_nb_veh_D0,ineq_nb_veh_D1,ineq_obj_val,ineq_sol_time,ineq_col_gen_iter,ineq_tot_mem_use,model_acc
3b,2,140,544,1099,0.0,57.9971,65515.73,8536.8,223,86.55,0.0,56.9971,64556.69,1507.7,213,76.114,0.9225362469933799
3b,2,141,440,1040,0.0,51.9975,59066.38,952.7,197,68.629,0.0,51.9975,59016.27,529.8,161,71.164,0.8836392492632499
3b,2,142,556,1042,0.0,68.9967,76401.58,278.8,108,68.13,0.0,68.9966,76302.66,1170.2,227,68.683,0.9324415210232704
3b,2,143,629,1230,0.0,68.9963,76892.91,915.1,139,91.059,0.0,68.9962,76806.73,1469.9,194,94.805,0.9010045358934013
3b,2,144,493,1053,0.0,57.9974,65835.83,689.0,156,74.071,0.0,57.9973,65684.24,487.4,151,66.344,0.9213990462340045
3b,2,145,480,1047,0.000462026,59.9966,66145.66,25802.0,697,78.173,0.0,59.9969,66054.69,15226.6,1213,87.019,0.9338203495191545
3b,2,146,441,975,0.0,50.9977,57682.61,1073.8,223,70.885,0.0,50.9977,57560.54,1490.7,267,79.081,0.8485982320694656
3b,2,147,498,1041,0.0,59.9974,66654.13,1428.7,191,63.113,0.0,59.9971,66538.95,433.7,173,62.848,0.9304049333843416
3b,2,148,559,1054,0.0,63.9966,71489.36,830.0,166,62.507,0.0,63.9966,71419.31,325.5,140,65.95,0.9166983792141481
3b,2,149,486,913,0.0,63.9969,70419.73,391.5,143,52.118,0.0,63.9969,70369.68,208.4,142,54.017,0.9434474816154663
3b,2,150,568,1023,0.0,63.9971,71575.64,469.1,123,60.094,0.0,62.9967,70634.32,388.1,151,69.326,0.926854826919814
3b,2,151,548,1057,0.0,63.9964,71181.1,461.8,137,65.867,0.0,63.9963,71002.1,650.4,187,67.297,0.9370026064204386
3b,2,152,469,951,0.0,59.9971,66682.02,1538.5,275,61.131,0.0,59.497,66154.88,329.8,148,57.226,0.9128875032164422
3b,2,153,555,1170,0.0,63.9969,71681.43,944.1,150,94.828,0.0,62.997,70776.4,810.3,173,86.821,0.9274261424950333
3b,2,154,570,1131,0.0,63.9969,72047.24,8879.7,412,97.455,0.0,63.9967,71988.03,666.2,151,73.692,0.9350167629645482
3b,2,155,544,1099,0.0,63.9968,71163.54,2738.1,245,76.795,0.0,63.9967,71083.4,508.2,170,73.54,0.9385194198311448
